Col1,Col5,Col7,Col11
0.32,0.97,10.6,0.25
0.715,0.65,11.4,0.0
0.48,0.43,9.05,0.2
0.46,1.34,9.2,0.59
0.63,0.76,9.7,0.07
0.58,0.56,10.0,0.66
0.35,0.5,9.5,0.41
0.72,0.72,11.1,0.09
0.43,0.54,9.9,0.31
0.51,0.66,9.6,0.24
0.47,0.85,11.1,0.27
0.6,0.56,9.8,0.26
0.67,0.56,11.8,0.0
0.65,0.77,9.4,0.18
0.85,0.82,12.9,0.05
0.695,0.54,10.1,0.13
0.4,0.58,10.4,0.5
0.42,0.52,9.2,0.21
0.3,0.77,10.8,0.74
0.56,0.5,9.4,0.12
0.44,0.67,10.2,0.64
0.44,0.67,9.4,0.28
0.32,0.77,11.5,0.52
0.27,0.64,11.0,0.34
0.77,0.64,10.4,0.12
0.49,0.64,9.6,0.26
0.31,0.79,8.4,0.74
0.45,0.49,10.2,0.23
0.34,0.63,10.7,0.44
0.745,0.82,9.6,0.11
0.34,0.81,12.0,0.37
0.84,0.72,9.25,0.21
0.32,0.82,12.6,0.45
0.31,0.83,10.9,0.53
0.51,0.87,12.9,0.18
0.55,0.82,11.6,0.15
0.58,0.68,11.4,0.0
0.53,0.59,9.3,0.48
0.84,0.56,12.3,0.03
0.54,0.6,9.3,0.26
0.68,0.53,9.5,0.0
0.58,0.52,10.0,0.03
0.735,0.6,9.4,0.0
0.46,0.54,11.4,0.17
0.37,0.72,11.8,0.32
0.54,0.77,9.0,0.37
1.04,0.55,9.9,0.05
0.36,0.73,10.9,0.39
0.59,0.59,9.8,0.01
0.48,0.53,10.5,0.41
0.62,0.54,9.5,0.06
0.66,0.66,10.1,0.34
0.47,0.6,9.8,0.49
0.58,0.56,10.5,0.01
0.52,0.56,13.1,0.15
0.61,0.63,8.4,0.49
0.41,0.88,11.0,0.52
0.41,0.76,9.9,0.54
0.65,0.52,9.2,0.6
0.5,0.83,11.1,0.21
0.28,0.55,12.3,0.45
0.57,0.59,10.4,0.08
0.66,0.48,9.2,0.2
0.87,0.5,9.8,0.0
0.39,0.5,11.5,0.49
0.48,0.49,9.6,0.08
0.56,0.52,11.0,0.08
0.27,0.66,12.8,0.24
0.58,0.57,10.3,0.54
0.58,0.54,9.4,0.28
0.855,0.6,11.0,0.02
0.44,0.62,9.3,0.15
0.37,0.73,11.3,0.32
0.43,0.63,9.5,0.44
0.705,0.66,10.2,0.1
0.42,0.74,14.0,0.24
0.64,0.63,11.3,0.0
0.63,0.58,9.6,0.21
0.32,0.78,10.0,0.44
0.53,0.74,11.5,0.66
0.36,0.85,11.0,0.46
0.58,0.58,11.3,0.0
0.59,0.7,9.5,0.42
0.38,0.85,11.0,0.32
0.43,0.55,9.5,0.44
0.6,0.56,10.8,0.0
0.695,0.84,12.2,0.53
0.26,1.04,10.9,0.47
0.915,0.73,11.4,0.0
0.41,0.62,10.4,0.24
0.37,0.62,9.8,0.25
0.45,0.63,10.4,0.49
0.43,0.5,9.6,0.39
0.53,0.6,9.5,0.33
0.775,0.59,9.5,0.42
0.61,0.77,11.1,0.08
0.63,0.58,9.8,0.27
0.6,0.61,10.9,0.01
0.64,0.78,10.6,0.05
0.37,0.6,13.0,0.76
0.38,0.75,14.0,0.01
0.95,0.56,9.6,0.03
0.5,0.56,10.4,0.3
0.58,0.67,12.5,0.2
0.39,0.61,10.8,0.69
0.6,0.63,10.5,0.49
0.64,0.66,9.8,0.21
0.3,0.77,10.8,0.74
0.43,0.61,10.5,0.3
0.62,0.53,9.0,0.08
0.28,0.68,10.6,0.6
0.725,0.56,10.0,0.24
0.62,0.66,9.8,0.09
0.58,0.58,9.5,0.23
0.68,0.55,9.5,0.11
0.49,1.98,9.8,0.29
0.58,0.64,10.2,0.08
0.57,0.48,9.2,0.14
0.59,0.59,10.8,0.06
0.53,0.86,9.2,0.12
0.31,0.48,10.5,0.78
0.43,0.64,10.4,0.17
0.38,0.7,10.0,0.31
0.32,0.55,10.4,0.31
0.305,0.52,11.5,0.39
0.66,0.72,11.0,0.24
0.56,1.28,9.3,0.28
0.52,0.76,11.4,0.45
0.39,0.83,10.9,0.4
0.38,0.58,11.9,0.41
0.585,0.94,12.9,0.0
0.45,0.91,9.9,0.31
0.29,0.84,11.7,0.33
0.9,0.63,10.9,0.0
0.28,0.66,11.2,0.44
0.7,0.53,10.0,0.0
0.96,0.44,11.9,0.0
0.59,0.52,9.9,0.26
0.625,1.12,9.1,0.2
0.39,0.55,9.2,0.48
0.52,0.57,9.1,0.12
0.5,0.63,13.0,0.09
0.63,0.75,9.8,0.02
0.53,0.86,12.4,0.6
0.43,0.72,10.5,0.42
0.77,0.58,9.2,0.2
0.755,0.49,9.7,0.0
0.36,0.53,11.9,0.66
0.37,0.78,10.1,0.58
0.39,0.51,9.5,0.54
0.725,0.39,10.9,0.05
0.49,0.58,10.2,0.1
0.53,0.66,10.8,0.07
0.41,0.58,9.1,0.15
0.63,0.62,9.5,0.48
0.4,0.6,12.2,0.43
0.56,0.59,9.2,0.13
0.58,0.73,9.7,0.01
0.36,0.85,11.0,0.46
0.34,0.58,10.1,0.24
0.38,0.65,11.1,0.14
0.12,0.76,11.9,0.45
0.645,0.46,10.3,0.03
0.61,0.4,9.3,0.2
0.815,0.62,10.8,0.01
0.38,0.7,9.6,0.48
0.54,0.5,10.55,0.06
0.635,0.75,10.9,0.1
0.66,0.63,12.8,0.0
0.54,0.61,9.2,0.49
0.49,0.63,12.0,0.27
0.32,0.97,10.6,0.25
0.22,0.87,10.3,0.24
0.54,0.59,11.5,0.09
0.25,0.76,10.9,0.29
0.59,0.56,11.4,0.01
0.6,0.6,10.8,0.14
0.39,0.81,10.9,0.41
0.91,0.64,10.9,0.06
0.4,0.91,9.5,0.3
0.31,0.78,12.0,0.29
0.58,0.7,11.0,0.28
0.5,0.79,9.5,0.11
0.44,0.63,11.6,0.49
0.735,0.71,11.7,0.02
0.39,0.43,9.7,0.1
0.43,0.91,9.5,0.21
0.83,0.52,9.9,0.37
0.24,1.06,11.0,0.49
0.75,0.61,12.8,0.01
0.64,0.58,10.4,0.03
0.19,0.69,11.2,0.42
0.35,0.86,12.8,0.46
0.76,1.33,9.1,0.68
0.41,0.57,10.5,0.14
0.38,0.55,11.4,0.57
0.58,0.62,11.5,0.0
0.33,0.61,10.7,0.44
0.41,0.67,10.8,0.43
0.73,0.59,9.3,0.24
1.24,0.53,9.5,0.34
0.42,0.74,12.3,0.46
0.785,0.55,10.7,0.0
0.47,0.88,13.5666666666667,0.11
0.76,0.65,9.8,0.04
0.38,1.05,9.4,0.48
0.545,0.61,11.6,0.12
0.37,0.8,11.2,0.32
0.61,0.51,9.4,0.08
0.51,0.54,10.5,0.02
0.59,0.5,9.1,0.29
0.78,1.17,9.2,0.51
0.26,0.8,9.4,0.42
0.68,0.5,9.3,0.0
0.35,0.6,11.9,0.33
0.31,0.83,11.2,0.35
0.4,0.66,10.2,0.52
0.42,0.7,10.8,0.38
0.63,0.57,9.4,0.24
0.575,0.51,9.2,0.22
0.58,0.62,9.1,0.13
0.51,0.66,11.8,0.64
0.655,1.14,9.3,0.49
0.635,1.09,9.3,0.37
0.46,0.54,9.8,0.31
0.32,0.77,11.5,0.52
0.59,0.42,9.2,0.22
0.34,0.47,9.0,0.38
0.6,0.56,12.2,0.0
0.5,0.52,10.0,0.24
0.4,0.77,10.5,0.32
0.51,0.75,11.0,0.13
0.69,0.53,12.9,0.0
0.5,0.78,9.5,0.04
0.66,0.54,9.5,0.0
0.63,0.54,9.5,0.08
0.47,0.85,11.1,0.27
0.44,0.65,10.8,0.47
0.5,0.47,10.0,0.04
0.5,0.64,9.4,0.04
0.42,0.95,9.2,0.53
0.39,0.78,9.9,0.32
0.78,0.56,11.3,0.23
0.835,0.52,9.3,0.0
0.43,0.64,10.3,0.32
0.27,0.69,11.2,0.39
0.36,0.53,10.1,0.21
0.78,0.46,9.6,0.0
0.52,0.81,9.6,0.07
0.57,0.84,12.5,0.01
0.48,0.55,10.3,0.31
0.54,0.6,9.3,0.26
0.59,0.59,10.0,0.18
0.43,0.72,11.5,0.3
0.6,0.57,9.9,0.65
0.8,0.65,10.4,0.12
0.4,0.56,9.2,0.23
0.32,0.78,9.6,0.59
0.55,0.63,9.2,0.22
0.49,1.95,9.9,0.28
0.6,0.7,9.9,0.0
0.45,0.83,10.5,0.36
0.89,1.18,10.2,0.3
0.36,0.62,9.2,0.69
0.39,0.66,11.6,0.42
0.855,0.56,10.75,0.02
0.5,0.83,11.1,0.21
0.6,0.56,9.8,0.26
0.72,0.53,9.5,0.17
0.56,0.44,9.6,0.04
0.52,0.82,12.9,0.32
0.69,0.72,10.2,0.0
0.4,0.64,9.2,0.4
0.72,0.58,9.8,0.0
0.33,0.88,12.4,0.39
0.6,0.49,9.1,0.29
0.29,0.67,10.1,0.49
0.44,0.57,10.4,0.42
0.33,0.53,10.3,0.47
0.49,0.83,11.3,0.22
1.58,0.4,10.9,0.0
0.41,0.52,9.4,0.3
0.57,0.69,9.5,0.02
0.51,0.75,11.0,0.13
0.735,0.56,10.1,0.1
0.38,0.47,9.5,0.21
0.57,0.6,9.4,0.0
0.52,0.76,11.4,0.45
0.54,0.98,10.2,0.26
0.59,0.55,11.5,0.0
0.57,0.6,12.8,0.28
0.29,0.53,9.5,0.38
0.34,0.7,10.0,0.49
0.64,0.58,9.6,0.07
0.25,0.8,12.4,0.37
0.44,0.69,11.0,0.39
0.725,0.39,10.9,0.05
0.46,0.6,10.6,0.24
0.58,0.53,11.2,0.13
0.26,0.63,11.8,0.54
0.33,0.71,11.0,0.41
0.38,0.64,11.4,0.44
0.885,0.51,10.8,0.0
0.65,0.55,9.5,0.1
0.38,0.73,10.5,0.6
0.36,0.57,11.7,0.24
0.63,0.58,9.0,0.0
0.715,0.54,9.5,0.22
0.49,1.95,9.9,0.28
0.48,0.65,10.0,0.32
0.7,0.7,9.4,0.23
0.27,0.56,11.3,0.46
0.33,0.76,12.4,0.52
0.47,0.68,12.7,0.49
0.4,0.67,9.3,0.41
0.36,0.54,10.1,0.21
0.83,0.48,9.8,0.27
0.23,0.63,11.1,0.4
0.32,0.82,10.3,0.47
0.21,0.58,11.1,0.37
0.6,0.57,9.7,0.5
0.47,0.76,10.8,0.43
0.885,0.51,10.8,0.0
0.32,0.79,10.7,0.57
0.62,0.62,10.1,0.03
0.34,0.79,14.0,0.0
0.59,0.71,9.8,0.07
0.38,0.57,9.4,0.15
1.01,0.6,11.5,0.66
0.62,0.93,9.2,0.19
0.52,0.61,10.5,0.42
0.57,0.54,9.8,0.21
0.41,0.65,10.2,0.39
0.44,0.57,11.7,0.2
0.58,0.58,9.5,0.23
0.62,0.6,9.3,0.18
0.58,0.57,9.7,0.25
0.71,0.58,10.0,0.0
0.61,0.7,11.5,0.0
0.39,0.61,10.8,0.69
0.52,0.86,10.6,0.09
0.55,0.76,11.2,0.1
0.36,0.68,11.0,0.29
0.42,0.77,12.0,0.45
0.74,0.55,9.4,0.19
0.665,0.54,9.1,0.61
0.59,0.7,9.3,0.45
0.42,0.78,10.0,0.19
0.41,0.79,13.3,0.5
0.47,0.46,9.5,0.47
0.615,0.65,9.2,0.0
0.31,0.77,12.5,0.39
0.24,1.02,10.8,0.46
0.77,0.64,10.4,0.12
0.54,0.91,9.4,0.04
0.45,0.66,11.2,0.73
0.62,0.57,11.5,0.05
1.18,0.47,10.5,0.21
0.74,0.48,10.0,0.07
0.4,0.69,12.5,0.5
0.27,0.7,9.7,0.41
0.27,0.67,9.7,0.62
0.28,0.63,9.5,0.54
0.5,0.62,11.2,0.74
0.79,0.65,10.4,0.04
0.68,0.6,10.2,0.24
0.965,0.5,9.5,0.1
0.34,0.79,11.1,0.32
0.615,0.61,9.3,0.22
0.915,0.65,10.2,0.12
0.69,0.62,10.1,0.32
0.31,0.66,10.0,0.47
0.4,0.82,11.7,0.53
0.33,0.48,9.4,0.4
0.47,0.73,10.6,0.4
0.43,0.64,9.5,0.29
0.875,0.52,11.5,0.13
1.0,0.55,9.0,0.09
0.59,0.65,11.0,0.59
0.6,0.7,9.9,0.0
0.61,0.59,9.5,0.14
0.22,0.56,12.4,0.49
0.28,1.36,9.8,0.54
0.725,0.53,9.6,0.04
0.55,0.59,9.7,0.13
0.59,0.58,10.7,0.01
0.605,0.55,12.9,0.05
0.87,0.5,9.8,0.0
0.785,0.67,10.0,0.24
0.6,0.37,13.0,0.08
1.04,0.62,11.5,0.24
0.73,0.52,9.5,0.21
0.44,0.66,13.4,0.68
0.51,0.54,10.5,0.02
0.965,0.67,10.2,0.0
0.34,0.69,12.1,0.48
0.27,1.13,12.0,0.53
0.29,1.01,12.4,0.36
0.5,0.58,9.8,0.01
0.34,0.7,11.3,0.58
0.78,0.62,10.7,0.0
0.35,0.81,11.0,0.33
0.63,0.45,9.5,0.0
0.645,0.6,10.0,0.25
0.28,0.66,9.2,0.39
0.49,0.9,10.5,0.2
0.52,0.64,11.8,0.4
0.6,0.55,9.5,0.04
0.64,0.62,9.1,0.27
0.59,0.71,9.8,0.07
0.58,0.56,10.5,0.01
0.74,0.56,11.6,0.09
0.35,0.65,11.0,0.29
0.75,0.4,12.8,0.01
0.315,0.7,9.2,0.54
0.645,0.74,11.1,0.49
0.55,0.44,10.0,0.09
0.55,0.59,10.1,0.15
0.64,0.62,9.1,0.27
0.91,0.56,9.2,0.1
0.46,0.62,9.5,0.39
0.65,0.62,10.4,0.02
0.695,0.54,10.1,0.13
0.6,0.45,9.3,0.17
0.6,0.74,11.9,0.49
0.36,0.57,11.7,0.24
0.24,1.05,10.8,0.42
0.56,0.62,11.7,0.14
0.6,0.54,10.1,0.03
0.55,0.58,11.0,0.01
0.46,0.64,10.4,0.2
0.48,0.53,10.3,0.28
0.42,0.75,8.7,0.49
0.53,0.46,9.6,0.22
0.51,0.93,10.7,0.0
0.53,0.77,13.0,0.79
0.39,0.99,9.8,0.49
0.24,0.61,10.4,0.49
0.29,0.91,9.7,0.4
0.46,0.49,10.7,0.14
0.77,0.68,9.9,0.0
0.56,0.73,11.8,0.33
0.65,0.55,9.5,0.1
0.76,0.68,11.5,0.29
0.28,0.68,10.6,0.6
0.695,0.54,10.1,0.13
0.39,0.49,9.4,0.12
0.785,0.69,9.3,0.52
0.41,0.52,9.4,0.3
0.63,0.75,9.8,0.02
0.43,0.58,10.5,0.25
0.56,0.62,9.5,0.22
0.5,0.68,10.5,0.59
0.5,0.52,10.7,0.34
0.615,0.53,9.7,0.28
0.54,0.77,9.0,0.37
0.41,0.59,9.5,0.24
0.29,0.84,11.7,0.33
0.43,0.62,9.5,0.34
0.575,0.69,9.0,0.61
0.36,0.77,9.7,0.21
0.34,1.18,9.2,0.5
0.58,0.59,9.5,0.2
0.46,0.74,10.0,0.24
0.23,0.49,9.3,0.37
0.37,0.65,10.6,0.34
0.415,0.64,9.2,0.36
0.865,0.49,12.7,0.03
0.39,0.82,10.3,0.49
0.77,0.58,9.2,0.2
0.46,0.53,11.2,0.0
0.74,0.59,12.5,0.0
0.6,0.46,9.4,0.06
0.32,0.78,11.0,0.44
0.21,0.84,9.2,0.44
0.18,0.64,10.1,0.48
0.56,0.61,10.2,0.09
0.31,0.83,10.9,0.53
0.56,0.82,11.2,0.22
0.28,0.62,12.4,0.48
0.53,0.59,9.3,0.48
0.26,0.8,9.4,0.42
0.49,0.69,9.2,0.2
0.36,0.72,11.1,0.57
0.56,0.6,11.3,0.09
0.53,0.46,9.8,0.01
0.915,0.47,10.0,0.27
0.44,1.1,9.4,0.5
0.36,0.66,12.5,0.64
0.61,0.62,9.7,0.26
0.37,0.58,11.0,0.65
0.48,0.53,9.2,0.24
0.5,0.72,11.5,0.42
0.67,0.54,9.5,0.12
0.66,0.66,12.7,0.0
0.31,0.76,10.1,0.46
0.29,0.6,10.5,0.4
0.4,0.81,9.7,0.48
0.6,0.57,9.3,0.18
0.59,0.68,10.8,0.0
0.36,0.72,11.0,0.32
0.36,0.93,12.4,0.53
0.66,0.58,12.9,0.0
0.52,0.72,12.5,0.08
0.33,0.62,12.1,0.41
0.69,0.62,10.1,0.32
0.685,0.65,9.55,0.1
0.52,0.5,11.0,0.25
0.5,0.61,10.4,0.14
0.47,0.62,12.8,0.02
0.3,0.51,12.3,0.68
0.47,0.86,9.9,0.44
0.49,0.76,10.5,0.49
0.765,0.78,9.9,0.02
0.33,0.74,11.2,0.63
0.33,0.48,10.4,0.46
0.41,0.64,9.1,0.49
0.36,0.7,11.4,0.3
0.68,0.52,11.1,0.09
0.59,0.58,10.3,0.39
0.4,0.74,10.1,0.16
0.23,0.54,12.3,0.42
0.55,0.55,9.7,0.21
0.28,0.67,10.6,0.47
0.58,0.63,10.0,0.58
1.0,0.55,9.0,0.09
0.33,0.54,12.0,0.59
0.66,0.58,9.5,0.0
0.29,0.61,10.1,0.49
0.38,0.54,9.4,0.55
0.65,0.62,10.4,0.02
0.6,0.54,10.1,0.03
0.4,0.6,12.2,0.41
0.62,0.61,9.2,0.1
0.47,0.63,10.5,0.46
0.42,0.66,11.1,0.35
0.33,0.77,12.7,0.42
0.49,1.0,11.5,0.58
0.66,0.71,11.5,0.39
0.44,0.6,9.5,0.49
0.49,0.62,12.2,0.26
0.4,0.77,10.5,0.32
0.635,0.69,10.8,0.1
0.48,0.6,10.4,0.25
0.39,0.74,9.8,0.38
0.36,0.76,12.0,0.47
0.67,0.52,9.5,0.02
0.18,0.97,10.1,0.51
0.42,0.55,9.2,0.35
0.64,0.67,9.9,0.24
0.53,0.56,10.0,0.04
0.46,0.56,9.0,0.52
0.67,0.54,9.4,0.0
0.85,0.54,10.1,0.14
0.66,0.78,12.8,0.33
0.54,0.84,11.4,0.0
0.645,0.61,12.5,0.0
0.26,0.87,10.9,0.48
0.16,0.54,12.4,0.44
0.12,0.76,11.9,0.45
0.32,0.8,11.6,0.44
0.49,0.55,9.5,0.32
0.42,1.07,9.7,0.32
0.46,0.74,9.6,0.31
0.52,0.63,9.4,0.04
0.28,0.58,9.8,0.56
0.395,0.67,12.4,0.13
0.7,0.69,10.9,0.06
0.49,0.53,9.4,0.11
0.61,1.56,9.1,0.29
0.54,0.71,11.4,0.42
1.33,0.49,10.9,0.0
0.45,0.71,10.8,0.33
0.33,1.1,10.0,0.33
0.26,0.78,11.3,0.34
0.55,0.68,10.5,0.19
0.47,0.65,9.6,0.08
0.58,0.47,9.2,0.03
0.605,0.52,9.4,0.12
0.87,0.72,9.8,0.0
0.66,0.63,10.3,0.0
0.43,0.7,12.5,0.45
0.31,0.51,9.8,0.49
0.34,0.86,11.0,0.4
0.84,0.55,9.7,0.0
0.695,0.52,9.2,0.0
0.545,0.59,9.0,0.18
0.74,0.57,11.8,0.09
0.26,0.61,11.8,0.68
0.64,0.68,10.3,0.31
0.18,0.97,10.1,0.51
0.69,0.51,9.9,0.21
0.59,0.67,9.7,0.1
0.5,0.44,9.6,0.49
0.52,0.63,11.6,0.08
0.59,0.53,9.7,0.02
0.25,0.71,12.5,0.39
0.78,0.56,11.3,0.23
0.51,0.73,9.5,0.18
0.7,0.6,9.0,0.24
0.6,0.57,10.0,0.29
0.635,1.15,9.3,0.68
0.61,0.5,10.0,0.19
0.625,0.57,11.0,0.16
0.33,0.65,9.3,0.23
0.69,0.6,9.7,0.0
0.785,0.67,10.0,0.24
0.62,0.89,11.8,0.12
0.765,0.6,10.3,0.18
0.39,0.49,9.4,0.12
0.44,0.53,10.2,0.24
0.5,0.62,11.5,0.29
0.21,0.59,11.9,0.4
0.53,0.56,11.7,0.49
0.595,0.57,9.3,0.41
0.82,0.58,9.8,0.02
0.41,0.58,11.2,0.33
0.63,0.52,9.3,0.17
0.47,0.59,9.1,0.49
0.875,0.52,10.2,0.05
0.39,0.58,11.4,0.24
0.62,0.82,9.5,0.08
0.65,0.67,9.5,0.02
0.4,0.56,12.0,0.4
0.44,0.85,12.0,0.73
0.54,0.64,9.8,0.13
0.6,0.49,9.9,0.22
0.5,0.87,9.8,0.12
0.55,0.64,9.4,0.0
0.42,0.87,11.3,0.48
0.885,0.53,9.4,0.27
0.59,0.5,9.0,0.08
0.685,0.62,9.4,0.35
0.5,0.68,10.9,0.55
0.61,0.58,9.3,0.2
0.28,0.74,11.8,0.35
0.56,0.62,9.4,0.23
0.43,0.46,11.9,0.3
0.37,1.06,9.1,0.53
0.48,1.06,9.1,0.68
0.59,0.53,9.7,0.02
0.46,0.62,12.2,0.44
1.0,0.46,10.0,0.0
0.38,0.62,10.8,0.55
0.52,0.65,9.0,0.25
0.73,0.52,9.5,0.21
0.69,0.6,11.3,0.07
0.41,0.66,10.5,0.64
0.735,0.53,9.9,0.02
0.41,0.62,9.5,0.42
0.775,0.56,10.7,0.0
0.67,0.98,9.9,0.22
0.58,0.43,9.3,0.2
0.59,0.59,10.8,0.06
0.635,0.69,10.8,0.1
0.6,1.17,10.2,0.3
0.5,0.71,10.5,0.3
0.54,1.18,10.5,0.3
0.55,0.55,9.7,0.21
0.705,0.58,10.7,0.07
0.655,0.42,9.6,0.26
0.63,0.73,9.6,0.06
0.415,0.8,10.0,0.68
0.42,0.53,11.0,0.48
0.7,0.52,12.6,0.08
0.4,0.57,12.5,0.57
0.46,0.7,10.2,0.5
0.37,0.51,9.5,0.52
0.59,0.47,10.3,0.0
0.54,0.59,9.7,0.26
0.65,0.67,9.5,0.02
0.5,0.71,10.5,0.3
0.84,0.56,12.3,0.03
0.715,0.5,11.9,0.1
0.59,0.92,10.5,0.16
0.705,0.95,10.5,0.05
0.39,0.75,9.8,0.47
0.825,0.77,10.7,0.24
0.62,0.52,9.4,0.32
0.64,0.6,10.0,0.0
0.5,0.55,12.3,0.0
0.4,0.68,11.3,0.65
0.67,0.82,10.9,0.02
0.6,0.52,9.9,0.26
0.64,0.59,9.7,0.23
0.45,0.51,9.9,0.15
0.82,0.53,9.6,0.0
0.4,0.5,10.5,0.47
0.66,1.2,10.3,0.22
0.36,0.5,9.4,0.3
0.76,0.63,9.95,0.02
0.64,0.7,10.9,0.23
0.37,1.03,9.3,0.48
0.3,0.51,12.3,0.68
0.65,0.74,11.7,0.01
0.69,0.45,9.4,0.0
0.45,0.58,9.8,0.38
0.49,0.47,10.5,0.1
0.24,0.54,9.2,0.54
0.27,0.51,11.8,0.56
0.42,0.64,12.3,0.27
0.675,0.65,9.55,0.1
0.42,0.68,10.4,0.09
0.34,0.78,12.4,0.42
0.51,0.96,12.1,0.25
0.74,0.51,9.8,0.28
0.48,0.64,9.7,0.08
0.6,0.63,10.4,0.0
0.44,0.79,11.1,0.42
0.39,0.62,12.2,0.33
0.47,0.61,9.4,0.31
0.54,0.62,9.4,0.45
0.7,0.56,9.4,0.0
0.48,0.61,10.5,0.54
0.5,0.63,13.0,0.09
0.6,0.52,9.9,0.26
0.51,0.84,11.2,0.23
0.2,0.8,11.9,0.35
0.36,0.53,11.9,0.66
0.5,0.8,10.5,0.36
0.55,0.48,9.0,0.03
0.585,0.54,9.8,0.18
0.53,0.67,11.0,0.09
0.51,0.64,9.5,0.24
0.53,0.83,10.3,0.06
0.38,0.61,10.3,0.49
0.23,0.71,12.1,0.37
0.9,0.68,9.3,0.34
